incidents,luminosity,avg_temperature,avg_atm_pressure,avg_wind_speed,Month,Hour,Day,N207,N206,N310,R206,N105,IC5,N309,N101,EM579
0,0,0.32352941176470584,0.45714285714285907,0.2890648263178878,0.1818181818181818,1.0,2,0,0,0,0,0,0,0,1,0
0,0,0.32352941176470584,0.28571428571428825,0.2890648263178878,0.9999999999999999,0.7826086956521738,7,0,0,0,0,0,0,0,1,0
1,2,0.38235294117647056,0.8000000000000007,0.0,0.1818181818181818,0.6521739130434783,6,0,0,0,0,0,0,0,1,0
4,2,0.4117647058823529,0.8857142857142861,0.2890648263178878,0.7272727272727273,0.3913043478260869,4,0,0,0,1,1,0,0,1,0
3,2,0.7647058823529411,0.6571428571428584,0.2890648263178878,0.4545454545454545,0.4782608695652174,1,0,0,0,0,0,0,0,1,0
2,0,0.23529411764705882,0.514285714285716,0.0,0.9999999999999999,1.0,3,0,0,0,0,0,0,0,1,0
1,0,0.20588235294117646,0.8285714285714292,0.2890648263178878,0.9999999999999999,0.21739130434782608,1,0,0,0,0,0,0,0,1,0
3,0,0.4411764705882353,0.4285714285714306,0.45815690999132613,0.2727272727272727,1.0,4,0,0,0,0,0,0,0,1,0
4,2,0.38235294117647056,0.571428571428573,0.7472217363092141,0.36363636363636365,0.5217391304347826,7,0,0,0,0,0,0,0,1,0
4,2,0.6470588235294118,0.6000000000000014,0.0,0.8181818181818182,0.7826086956521738,2,0,1,0,0,1,1,1,1,0
0,2,0.6470588235294118,0.514285714285716,0.0,0.5454545454545454,0.8695652173913043,3,0,0,0,0,0,0,0,1,0
0,2,0.29411764705882354,0.571428571428573,0.45815690999132613,0.9090909090909091,0.5217391304347826,4,0,0,0,0,0,0,0,1,0
0,2,0.1764705882352941,0.6571428571428584,0.0,0.1818181818181818,0.34782608695652173,6,0,0,0,0,0,0,0,1,0
2,0,0.23529411764705882,0.9428571428571431,0.2890648263178878,0.9090909090909091,0.8695652173913043,7,0,0,0,0,1,0,0,1,0
1,2,0.4411764705882353,0.5428571428571445,0.0,0.9090909090909091,0.5652173913043478,2,0,0,0,0,0,0,0,1,0
2,2,0.29411764705882354,0.17142857142857082,0.45815690999132613,0.0,0.43478260869565216,4,0,0,0,0,0,0,0,1,0
0,0,0.47058823529411764,0.6000000000000014,0.0,0.8181818181818182,0.8260869565217391,7,0,0,0,0,0,0,0,1,0
0,0,0.29411764705882354,0.6000000000000014,0.2890648263178878,0.1818181818181818,0.043478260869565216,7,0,0,0,0,0,0,0,1,0
3,2,0.5294117647058824,0.6571428571428584,0.0,0.9090909090909091,0.5217391304347826,7,0,0,0,0,0,0,0,1,0
3,2,0.4117647058823529,0.6571428571428584,0.2890648263178878,0.9090909090909091,0.4782608695652174,7,0,0,0,0,0,0,0,1,0
0,0,0.4117647058823529,0.6285714285714299,0.2890648263178878,0.8181818181818182,0.13043478260869565,6,0,0,0,0,0,0,0,1,0
0,2,0.14705882352941174,0.8000000000000007,0.45815690999132613,0.9999999999999999,0.34782608695652173,1,0,0,0,0,0,0,0,1,0
